uid,iid
110,4913
113,4913
130,4913
133,4913
134,4913
156,4913
177,4913
180,4913
4,4914
53,4914
69,4914
74,4914
91,4914
95,4914
114,4914
136,4914
143,4914
170,4914
182,4914
177,4915
117,4916
117,4917
2,4918
11,4918
17,4918
19,4918
35,4918
36,4918
65,4918
67,4918
73,4918
76,4918
98,4918
103,4918
104,4918
130,4918
133,4918
155,4918
19,4919
117,4920
117,4921
117,4922
108,4923
117,4923
2,4924
11,4924
48,4924
72,4924
73,4924
76,4924
89,4924
98,4924
102,4924
128,4924
130,4924
133,4924
155,4924
175,4924
185,4924
19,4925
28,4925
31,4925
108,4925
117,4926
30,4927
49,4927
74,4927
91,4927
110,4927
114,4927
116,4927
117,4927
125,4927
127,4927
134,4927
136,4927
143,4927
145,4927
170,4927
175,4927
182,4927
117,4928
4,4929
8,4929
53,4929
60,4929
74,4929
91,4929
95,4929
136,4929
143,4929
182,4929
69,4930
117,4931
4,4932
8,4932
53,4932
69,4932
74,4932
91,4932
95,4932
112,4932
114,4932
136,4932
143,4932
170,4932
182,4932
15,4933
17,4933
35,4933
62,4933
67,4933
73,4933
76,4933
77,4933
79,4933
83,4933
97,4933
103,4933
129,4933
130,4933
133,4933
164,4933
149,4934
31,4935
39,4935
52,4935
64,4935
108,4935
115,4935
24,4936
66,4936
76,4936
90,4936
98,4936
115,4936
165,4937
117,4938
4,4939
53,4939
69,4939
74,4939
91,4939
95,4939
114,4939
136,4939
143,4939
145,4939
170,4939
182,4939
117,4940
11,4941
17,4941
19,4941
48,4941
63,4941
65,4941
67,4941
77,4941
80,4941
98,4941
110,4941
117,4941
119,4941
130,4941
133,4941
134,4941
175,4941
117,4942
4,4943
60,4943
117,4943
143,4943
117,4944
170,4944
28,4945
117,4945
61,4946
91,4946
114,4946
117,4947
100,4948
4,4949
69,4949
91,4949
112,4949
149,4949
170,4949
11,4950
12,4950
30,4950
78,4950
81,4950
101,4950
116,4950
117,4950
123,4950
125,4950
126,4950
127,4950
134,4950
143,4950
170,4950
175,4950
117,4951
117,4952
12,4953
101,4953
117,4953
73,4954
117,4954
117,4955
117,4956
117,4957
105,4958
11,4959
12,4959
17,4959
28,4959
36,4959
39,4959
52,4959
55,4959
73,4959
78,4959
125,4959
126,4959
127,4959
130,4959
134,4959
175,4959
16,4960
117,4961
11,4962
12,4962
30,4962
48,4962
63,4962
65,4962
117,4962
126,4962
143,4962
159,4962
175,4962
117,4963
12,4964
49,4964
65,4964
117,4964
126,4964
19,4965
117,4966
117,4967
72,4968
117,4968
53,4969
95,4969
117,4969
134,4969
178,4969
11,4970
12,4970
18,4970
19,4970
22,4970
27,4970
30,4970
59,4970
65,4970
114,4970
117,4970
126,4970
134,4970
143,4970
145,4970
149,4970
167,4970
174,4970
178,4970
19,4971
28,4971
31,4971
52,4971
108,4971
117,4972
4,4973
53,4973
136,4973
15,4974
17,4974
77,4974
79,4974
97,4974
130,4974
164,4974
4,4975
53,4975
136,4975
117,4976
4,4977
8,4977
60,4977
91,4977
136,4977
143,4977
145,4977
4,4978
8,4978
44,4978
74,4978
91,4978
136,4978
170,4978
173,4978
